abbr,latitude,longitude,state, cocktail,Image URL
AL,32.601011199999995,-86.6807365,Alabama,Hurricane,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
AK,61.3025006,-158.7750198,Alaska,Boston Sour,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
AZ,34.1682185,-111.930907,Arizona,Count Camillo's Paloma,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
AR,34.7519275,-92.13137840000002,Arkansas,Daiquiri,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
CA,37.2718745,-119.2704153,California,Count Camillo's Paloma,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
CO,38.9979339,-105.55056699999999,Colorado,Hurricane,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
CT,41.518783500000005,-72.75750699999999,Connecticut,Margarita,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
DE,39.145251,-75.41892059999999,Delaware,Screwdriver,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
DC,38.899348700000004,-77.0145666,District of Columbia,Fancy Whiskey,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
FL,27.9757279,-83.8330166,Florida,Daiquiri,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
GA,32.6781248,-83.22297569999999,Georgia,Georgia Peach,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
HI,20.46,-157.505,Hawaii,Lemon Drop,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
ID,45.4945756,-114.1424303,Idaho,Cosmopolitan,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
IL,39.739318,-89.504139,Illinois,Manhattan Cocktail (dry),https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
IN,39.7662195,-86.441277,Indiana,Lemon Drop,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
IA,41.9383166,-93.389798,Iowa,Cosmopolitan,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
KS,38.4987789,-98.32007790000002,Kansas,Screwdriver,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
KY,37.8222935,-85.76823990000001,Kentucky,Mint Julep (Southern Style),https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
LA,30.9733766,-91.42990970000001,Louisiana,Hurricane,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
ME,45.2185133,-69.0148656,Maine,Margarita,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
MD,38.806352399999994,-77.2684162,Maryland,Bloody Mary,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
MA,42.062939799999995,-71.718067,Massachusetts,Fancy Whiskey,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
MI,44.9435598,-86.41580490000001,Michigan,Cosmopolitan,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
MN,46.4418595,-93.3655146,Minnesota,Bloody Mary,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
MS,32.5851062,-89.8772196,Mississippi,Long Island Iced Tea,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
MO,38.3046615,-92.437099,Missouri,Moscow Mule,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
MT,46.6797995,-110.04478300000001,Montana,Moscow Mule,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
NE,41.5008195,-99.680902,Nebraska,Fancy Whiskey,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
NV,38.502032,-117.0230604,Nevada,Grasshopper Cocktail,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
NH,44.00123060000001,-71.57992309999999,New Hampshire,Fancy Whiskey,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
NJ,40.1430058,-74.7311156,New Jersey,Manhattan Cocktail (dry),https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
NM,34.1662325,-106.02606850000001,New Mexico,Fancy Whiskey,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
NY,40.7056258,-73.97968,New York,Manhattan Cocktail (dry),https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
NC,35.2145629,-79.8912675,North Carolina,Cherry Rum,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
ND,47.467881899999995,-100.3022655,North Dakota,Cosmopolitan,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
OH,40.1903624,-82.6692525,Ohio,Fancy Whiskey,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
OK,35.309765399999996,-98.71655849999999,Oklahoma,White Russian,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
OR,44.1419049,-120.5380993,Oregon,Fancy Whiskey,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
