abbr,latitude,longitude,state, cocktail,images_url
OK,35.3097654,-98.7165585,Oklahoma, Black Russian,https://www.thecocktaildb.com/images/media/drink/8oxlqf1606772765.jpg
MT,46.6797995,-110.044783,Montana, Blue Hawaiian ,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.pinterest.com%2Fpin%2F102245854018160763%2F&psig=AOvVaw0Pqh7YSshi_XfIOroMIOxN&ust=1611798953086000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCIjVhJaBu-4CFQAAAAAdAAAAABAD
OH,40.1903624,-82.6692525,Ohio, Boulevardier,https://www.thecocktaildb.com/images/media/drink/km84qi1513705868.jpg
TN,35.830521,-85.9785989,Tennessee, Buschwacker,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.funinkeywest.com%2Fbushwacker-drink-recipe%2F&psig=AOvVaw3-28Im_DMCU3hrYx8xMqe1&ust=1611798997379000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCOjZs6yBu-4CFQAAAAAdAAAAABAT
LA,30.9733766,-91.4299097,Louisiana, Bushwacker,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.funinkeywest.com%2Fbushwacker-drink-recipe%2F&psig=AOvVaw3-28Im_DMCU3hrYx8xMqe1&ust=1611798997379000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCOjZs6yBu-4CFQAAAAAdAAAAABAT
NC,35.2145629,-79.8912675,North Carolina, Bushwacker,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.funinkeywest.com%2Fbushwacker-drink-recipe%2F&psig=AOvVaw3-28Im_DMCU3hrYx8xMqe1&ust=1611798997379000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCOjZs6yBu-4CFQAAAAAdAAAAABAT
UT,39.4997605,-111.547028,Utah, Cape Cod,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.liquor.com%2Frecipes%2Fcape-cod%2F&psig=AOvVaw0YbsLuP3AQ2h_UzaF-bo62&ust=1611799089609000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCKioitSBu-4CFQAAAAAdAAAAABAD
MI,44.9435598,-86.4158049,Michigan, Cosmo,https://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg
RI,41.5827282,-71.5064508,Rhode Island, Cosmo ,https://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg
VT,43.8717545,-72.4477828,Vermont, Cosmopolitan,https://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg
FL,27.9757279,-83.8330166,Florida, Cuba Libre,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.liquor.com%2Frecipes%2Fcuba-libre%2F&psig=AOvVaw0HkiAWxWq_gpgsVLTpMxo0&ust=1611799103245000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCPjJ7NuBu-4CFQAAAAAdAAAAABAD
IN,39.7662195,-86.441277,Indiana, French 75,https://www.thecocktaildb.com/images/media/drink/hrxfbl1606773109.jpg
AR,34.7519275,-92.1313784,Arkansas, Frozen Daiquiri,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.pinterest.com%2Fpin%2F491877590524132175%2F&psig=AOvVaw3pfprYFfCmAmAYsI_8YAh-&ust=1611799258509000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCMDhpaWCu-4CFQAAAAAdAAAAABAG
MO,38.3046615,-92.437099,Missouri, Gin and Tonic ,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.thespruceeats.com%2Fgin-and-tonic-recipe-759300&psig=AOvVaw2HduH1x1r5Q6T2t69RE3a5&ust=1611799244169000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCICCxZ6Cu-4CFQAAAAAdAAAAABAD
NV,38.502032,-117.0230604,Nevada, Grasshopper,https://www.thecocktaildb.com/images/media/drink/aqm9el1504369613.jpg
WI,44.7862968,-89.8267049,Wisconsin, Grasshopper,https://www.thecocktaildb.com/images/media/drink/aqm9el1504369613.jpg
AL,32.6010112,-86.6807365,Alabama, Hurricane,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.recipegirl.com%2Fhurricane-cocktail-recipe%2F&psig=AOvVaw1FO6Nqb5hRbVygo6BvbxKV&ust=1611799165132000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCJjA9viBu-4CFQAAAAAdAAAAABAD
CO,38.9979339,-105.550567,Colorado, Hurricane,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.recipegirl.com%2Fhurricane-cocktail-recipe%2F&psig=AOvVaw1FO6Nqb5hRbVygo6BvbxKV&ust=1611799165132000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCJjA9viBu-4CFQAAAAAdAAAAABAD
ID,45.4945756,-114.1424303,Idaho, Kamikaze,https://www.thecocktaildb.com/images/media/drink/d7ff7u1606855412.jpg
IA,41.9383166,-93.389798,Iowa, Kamikaze,https://www.thecocktaildb.com/images/media/drink/d7ff7u1606855412.jpg
MD,38.8063524,-77.2684162,Maryland, Kamikaze,https://www.thecocktaildb.com/images/media/drink/d7ff7u1606855412.jpg
