cocktail,measure,ingredient,unit
Gauguin,2.0, Light Rum,Fl Oz
Fort Lauderdale,1.5, Light Rum,Fl Oz
Apple Pie,3.0, Apple schnapps,Fl Oz
Cuban Cocktail No. 1,0.5, Juice of a Lime,Fl Oz
Cool Carlos,1.5, Dark rum,Fl Oz
John Collins,2.0, Bourbon whiskey,Fl Oz
Cherry Rum,1.25, Light Rum,Fl Oz
Casa Blanca,2.0, Light Rum,Fl Oz
Caribbean Champagne,0.5, Light Rum,Fl Oz
Amber Amour,1.5, Amaretto,Fl Oz
The Joe Lewis,1.5, Scotch Whiskey,Fl Oz
Bacardi Cocktail,1.5, Bacardi Rum,Fl Oz
Apple Pie No. 1,0.75, Light Rum,Fl Oz
Yolanda,0.5, Brandy,Fl Oz
Yellow Rattler,1.0, Gin,Fl Oz
Why Not?,1.0, Gin,Fl Oz
Amaretto Stinger,1.5, Amaretto,Fl Oz
What The Hell,1.0, Gin,Fl Oz
Webster Cocktail,0.5, Juice of a Lime,Fl Oz
Union Jack Cocktail,0.75, Sloe gin,Fl Oz
Jocose Julep,2.5, Bourbon whiskey,Fl Oz
Trinity Cocktail,0.75, Sweet Vermouth,Fl Oz
Three Stripes Cocktail,1.0, Gin,Fl Oz
Tanq-A-Rita,1.5, Tanqueray gin,Fl Oz
Amaretto Sour,1.5, Amaretto,Fl Oz
Tailspin Cocktail,0.75, Gin,Fl Oz
Sweet Patootie Cocktail,1.0, Gin,Fl Oz
Sunshine Cocktail,0.75, Sweet Vermouth,Fl Oz
Spring Feeling Cocktail,1.0, Lemon Juice,Fl Oz
Sphinx Cocktail,1.5, Gin,Fl Oz
Jitterbug Sour,2.0, Straight rye whiskey,Fl Oz
Southern Gin Cocktail,2.0, Gin,Fl Oz
Society Cocktail,1.5, Gin,Fl Oz
Snyder,1.5, Gin,Fl Oz
Smiler Cocktail,0.5, Sweet Vermouth,Fl Oz
Smile Cocktail,1.0, Grenadine,Fl Oz
Amaretto Rose,1.5, Amaretto,Fl Oz
Sand-Martin Cocktail,1.0, Green Chartreuse,Fl Oz
Irish Whiskey Highball,2.0, Irish Whiskey,Fl Oz
Japanese,2.0, Brandy,Fl Oz
