name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size,all_measurements,all_ingredients
Gauguin,Cocktail Classics,2, Light Rum,1, Passion Fruit Syrup,1, Lemon Juice,1, Lime Juice,,,,,Combine ingredients with a cup of crushed ice in blender and blend at low speed. Serve in old-fashioned glass. Top with a cherry.,Old-Fashioned Glass,6 to 8 ounces,"['2', '1', '1', '1', nan, nan]","[' Light Rum', ' Passion Fruit Syrup', ' Lemon Juice', ' Lime Juice', nan, nan]"
Fort Lauderdale,Cocktail Classics,1.5, Light Rum,0.5, Sweet Vermouth,0.25, Juice of Orange,0.25, Juice of a Lime,,,,,Shake with ice and strain into old-fashioned glass over ice cubes. Add a slice of orange.,Old-Fashioned Glass,6 to 8 ounces,"[1.5, 0.5, 0.25, 0.25, nan, nan]","[' Light Rum', ' Sweet Vermouth', ' Juice of Orange', ' Juice of a Lime', nan, nan]"
Apple Pie,Cordials and Liqueurs,3, Apple schnapps,1, Cinnamon schnapps,, Apple slice,,,,,,,Pour into ice-filled old-fashioned glass. Garnish with apple and top with cinnamon.,Old-Fashioned Glass,6 to 8 ounces,"['3', '1', nan, nan, nan, nan]","[' Apple schnapps', ' Cinnamon schnapps', ' Apple slice', nan, nan, nan]"
Cuban Cocktail No. 1,Cocktail Classics,0.5, Juice of a Lime,0.5, Powdered Sugar,2, Light Rum,,,,,,,Shake with ice and  strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[0.5, 0.5, '2', nan, nan, nan]","[' Juice of a Lime', ' Powdered Sugar', ' Light Rum', nan, nan, nan]"
Cool Carlos,Cocktail Classics,1.5, Dark rum,2, Cranberry Juice,2, Pineapple Juice,1, Orange curacao,1, Sour Mix,,,"Mix all ingredients except curacao with ice, shake well. Pour into collins glass and float curacao on top. Garnish with pineapple and orange slices, and a cherry.",Collins Glass,14 to 16 ounces,"[1.5, '2', '2', '1', '1', nan]","[' Dark rum', ' Cranberry Juice', ' Pineapple Juice', ' Orange curacao', ' Sour Mix', nan]"
John Collins,Whiskies,2, Bourbon whiskey,1, Fresh lemon juice,0.5, Simple Syrup,1, Soda water,1," Orange and lemon wheels, maraschino cherry",,,"Shake first three ingredients with ice and strain into Collins glass. Add ice, fill with soda water, and stir. Garnish with orange, lemon, and cherry. Serve with straws.",Collins Glass,14 to 16 ounces,"['2', '1', 0.5, '1', '1', nan]","[' Bourbon whiskey', ' Fresh lemon juice', ' Simple Syrup', ' Soda water', ' Orange and lemon wheels, maraschino cherry', nan]"
Cherry Rum,Cocktail Classics,1.25, Light Rum,1.5, cherry-flavored brandy,1, Light cream,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[1.25, 1.5, '1', nan, nan, nan]","[' Light Rum', ' cherry-flavored brandy', ' Light cream', nan, nan, nan]"
Casa Blanca,Cocktail Classics,2, Light Rum,1.5, Lime Juice,1.5, Triple Sec,1.5, Maraschino,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"['2', 1.5, 1.5, 1.5, nan, nan]","[' Light Rum', ' Lime Juice', ' Triple Sec', ' Maraschino', nan, nan]"
Caribbean Champagne,Cocktail Classics,0.5, Light Rum,0.5, Creme de banana, ,Chilled Champagne,,,,,,,Pour rum and banana liqueur into champagne flute. Fill with champagne and stir lightly. Add a slice of banana.,Champagne Flute,6 to 8 ounces,"[0.5, 0.5, ' ', nan, nan, nan]","[' Light Rum', ' Creme de banana', 'Chilled Champagne', nan, nan, nan]"
Amber Amour,Cordials and Liqueurs,1.5, Amaretto,0.25, Fresh lemon juice,0.25, Simple Syrup,, Soda water, Maraschino cherry,,,,"Pour amaretto, lemon juice, and syrup into ice-filled Collins glass. Top with soda water and stir. Garnish with cherry.",Collins Glass,14 to 16 ounces,"[1.5, 0.25, 0.25, nan, ' Maraschino cherry', nan]","[' Amaretto', ' Fresh lemon juice', ' Simple Syrup', ' Soda water', nan, nan]"
