name,glass,glass-size,instructions
Gauguin,Old-Fashioned Glass,6 to 8 ounces,Combine ingredients with a cup of crushed ice in blender and blend at low speed. Serve in old-fashioned glass. Top with a cherry.
Fort Lauderdale,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into old-fashioned glass over ice cubes. Add a slice of orange.
Apple Pie,Old-Fashioned Glass,6 to 8 ounces,Pour into ice-filled old-fashioned glass. Garnish with apple and top with cinnamon.
Cuban Cocktail No. 1,Cocktail Glass,6 or more ounces,Shake with ice and  strain into cocktail glass.
Cool Carlos,Collins Glass,14 to 16 ounces,"Mix all ingredients except curacao with ice, shake well. Pour into collins glass and float curacao on top. Garnish with pineapple and orange slices, and a cherry."
John Collins,Collins Glass,14 to 16 ounces,"Shake first three ingredients with ice and strain into Collins glass. Add ice, fill with soda water, and stir. Garnish with orange, lemon, and cherry. Serve with straws."
Cherry Rum,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Casa Blanca,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Caribbean Champagne,Champagne Flute,6 to 8 ounces,Pour rum and banana liqueur into champagne flute. Fill with champagne and stir lightly. Add a slice of banana.
Amber Amour,Collins Glass,14 to 16 ounces,"Pour amaretto, lemon juice, and syrup into ice-filled Collins glass. Top with soda water and stir. Garnish with cherry."
The Joe Lewis,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Bacardi Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Apple Pie No. 1,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Yolanda,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Add a twist of orange peel.
Yellow Rattler,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Add a cocktail onion.
Why Not?,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Amaretto Stinger,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
What The Hell,Old-Fashioned Glass,6 to 8 ounces,Stir in old-fashioned glass over ice cubes.
Webster Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Union Jack Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Jocose Julep,Collins Glass,14 to 16 ounces,Combine first five ingredients in blender without ice until smooth. Pour into ice-filled Collins glass. Fill with soda water and stir. Garnish with mint sprig.
Trinity Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Three Stripes Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Tanq-A-Rita,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Amaretto Sour,Cordial or Pony Glass,2 to 3 ounces,Shake with ice and strain into chilled sour glass. Garnish with orange.
Tailspin Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Add a twist of lemon peel and a cherry or olive.
Sweet Patootie Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Sunshine Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Add a twist of orange peel.
Spring Feeling Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Sphinx Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Serve with a slice of lemon.
Jitterbug Sour,Cocktail Glass,6 or more ounces,Shake first five ingredients with ice and strain into chilled cocktail glass. Add bitters and lemon twist.
Southern Gin Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Add a twist of lemon peel.
Society Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Snyder,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Add a twist of lemon peel.
Smiler Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Smile Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Amaretto Rose,Collins Glass,14 to 16 ounces,Pour first three ingredients into ice-filled Collins glass and fill with soda water. Stir.
Sand-Martin Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Irish Whiskey Highball,Highball Glass,7 to 10 ounces,"Pour whiskey into ice-filled highball glass. Fill with ginger ale or soda water. Add lemon twist, if desired, and stir."
Japanese,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Add lemon twist.
Roselyn Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Add a twist of lemon peel.
Resolute Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Racquet Club Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Amaretto And Cream,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Pollyanna Cocktai,Cocktail Glass,6 or more ounces,Muddle ingredients. Shake with ice and strain into cocktail glass.
Plaza Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Add a strip of pineapple.
Irish Whiskey Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Garnish with olive.
Absinthe Special Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Nineteenth Hole,Cocktail Glass,6 or more ounces,Stir with ice in mixing glass and strain into cocktail glass and strain into cocktail glass. Garnish with an olive.
Montreal Club Bouncer,Old-Fashioned Glass,6 to 8 ounces,Pour into old-fashioned glass over ice cubes. Stir.
Monte Carlo Imperial Highball,Highball Glass,7 to 10 ounces,Shake with ice and strain into highball glass over ice cubes. Fill glass with champagne and stir.
Irish Shillelagh,Irish Coffee Glass,8 to 9 ounces,"Shake with ice and strain into ice-filled Irish coffee glass. Garnish with berries, peach slices, and cherry."
