abbr,latitude,longitude,state, cocktail,Image URL
AL,32.601011199999995,-86.6807365,Alabama,Hurricane,https://www.recipegirl.com/wp-content/uploads/2018/06/Hurricane-1.jpg
AK,61.3025006,-158.7750198,Alaska,Boston Sour,https://www.thewinebuzz.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2014/03/boston_sour-800x600.jpg.webp
AZ,34.1682185,-111.930907,Arizona,Count Camillo's Paloma,https://i0.wp.com/www.imbored-letsgo.com/wp-content/uploads/2014/07/Paloma.jpg?w=680&ssl=1
AR,34.7519275,-92.13137840000002,Arkansas,Daiquiri,https://www.liquor.com/thmb/8yIf61iidysFKWT7-bzSLu7Tg6g=/960x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/strawberry-daquiri-720x720-primary-468d4f031af042048c8a20e271d30a1a.jpg
CA,37.2718745,-119.2704153,California,Count Camillo's Paloma,https://i0.wp.com/www.imbored-letsgo.com/wp-content/uploads/2014/07/Paloma.jpg?w=680&ssl=1
CO,38.9979339,-105.55056699999999,Colorado,Hurricane,https://www.recipegirl.com/wp-content/uploads/2018/06/Hurricane-1.jpg
CT,41.518783500000005,-72.75750699999999,Connecticut,Margarita,https://www.thecocktaildb.com/images/media/drink/tqyrpw1439905311.jpg
DE,39.145251,-75.41892059999999,Delaware,Screwdriver,https://www.thecocktaildb.com/images/media/drink/8xnyke1504352207.jpg
DC,38.899348700000004,-77.0145666,District of Columbia,Fancy Whiskey,https://cdn.hiconsumption.com/wp-content/uploads/2014/02/Old-Fashioned.jpg
FL,27.9757279,-83.8330166,Florida,Daiquiri,https://www.liquor.com/thmb/8yIf61iidysFKWT7-bzSLu7Tg6g=/960x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/strawberry-daquiri-720x720-primary-468d4f031af042048c8a20e271d30a1a.jpg
GA,32.6781248,-83.22297569999999,Georgia,Georgia Peach,https://4.bp.blogspot.com/-NYzi_YGNPCM/Uhz2XgWfG8I/AAAAAAAAE-E/IUdg_HVp2e8/s1600/Georgia+Peach.png
